A,B,TKA,TKB,FWA,FWB,FSA,FSB
PHI,LDN,141,154,29,29,3,1
NYE,BOS,206,129,42,28,2,1
SEO,GLA,176,112,38,26,3,1
SHD,HZS,145,160,27,40,1,3
TOR,HOU,240,220,44,48,3,2
ATL,FLA,171,132,33,25,4,0
DAL,SFS,77,171,18,45,0,4
CDH,GZC,169,228,39,44,3,2
LDN,PAR,130,118,21,31,1,3
WAS,NYE,34,84,7,22,1,3
VAL,HZS,218,193,46,38,2,3
VAN,SHD,162,98,33,19,4,0
HOU,BOS,219,182,46,34,2,3
PHI,ATL,247,209,46,31,3,2
SFS,GLA,166,202,36,46,2,3
SEO,DAL,115,149,25,36,1,3
WAS,LDN,107,203,29,47,2,3
PHI,FLA,148,172,25,35,1,2
GZC,DAL,161,98,37,21,4,0
SEO,CDH,183,147,43,23,4,0
ATL,TOR,191,139,35,25,3,1
NYE,VAL,156,107,31,25,3,2
SHD,BOS,187,92,38,18,3,1
HOU,HZS,134,109,30,22,3,1
GLA,PAR,175,202,30,35,1,2
PHI,DAL,113,178,24,37,1,3
VAN,GZC,163,141,38,35,3,2
CDH,FLA,184,172,33,37,3,2
HZS,LDN,69,111,16,29,1,3
NYE,HOU,153,56,34,12,4,0
TOR,VAL,201,185,41,39,2,1
VAN,SFS,197,159,45,37,3,1
